,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
52,2018 Honda City,1.5L I-VTE V CVT,Automatic,"68,344 km",2nd Owner,Petrol,DL-2C,"15,418/month","8,10,000","Sector-18, Noida"
53,2019 Honda Amaze,1.2L I-VTEC S,Manual,"35,163 km",3rd Owner,Petrol,DL-4C,"10,264/month","5,25,000","GIP Mall, Noida"
54,2022 Maruti Baleno,ALPHA PETROL 1.2,Manual,"14,080 km",1st Owner,Petrol,HR-36,"16,997/month","8,93,000","Spaze Platinum, Sohna Road, Gurugram"
55,2019 Maruti Swift,VDI,Manual,"75,236 km",1st Owner,Diesel,UP-16,"11,691/month","5,98,000","Sewa Nagar
"
56,2019 Hyundai Elite i20,ASTA 1.2 (O),Manual,"51,237 km",1st Owner,Petrol,HR-26,"13,666/month","6,99,000","M3M Urbana, Golf Course Extension, Gurugram"
57,2017 Maruti Swift,VXI,Manual,"53,336 km",1st Owner,Petrol,HR-26,"9,873/month","5,05,000","Metro Walk, Rohini, New Delhi"
58,2019 Hyundai Elite i20,SPORTZ PLUS 1.2,Manual,"19,833 km",1st Owner,Petrol,DL-9C,"13,099/month","6,70,000","Vasant Kunj, New Delhi"
59,2012 Maruti Swift,LXI,Manual,"41,110 km",1st Owner,Petrol,DL-9C,"5,572/month","2,85,000","Vasant Kunj, New Delhi"
60,2016 Maruti Wagon R 1.0,LXI CNG,Manual,"72,754 km",2nd Owner,CNG,DL-1C,"6,276/month","3,21,000","Metro Walk, Rohini, New Delhi"
61,2020 Nissan MAGNITE,XV MT,Manual,"23,787 km",1st Owner,Petrol,UP-14,"13,314/month","6,81,000","Sewa Nagar
"
62,2017 Honda Amaze,1.2 SMT I VTEC,Manual,"97,313 km",2nd Owner,Petrol,DL-14,"7,527/month","3,85,000","Metro Walk, Rohini, New Delhi"
63,2017 Volkswagen Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Manual,"92,170 km",1st Owner,Petrol,DL-3C,"9,814/month","5,02,000","Sector-18, Noida"
64,2011 Maruti Swift Dzire,VXI,Manual,"84,505 km",1st Owner,Petrol,DL-13,"3,597/month","1,84,000","Metro Walk, Rohini, New Delhi"
65,2018 Hyundai Elite i20,MAGNA EXECUTIVE 1.2,Manual,"14,362 km",1st Owner,Petrol,HR-76,"11,476/month","5,87,000","M3M Urbana, Golf Course Extension, Gurugram"
66,2014 Honda Amaze,1.2L I-VTEC S AT,Automatic,"47,514 km",2nd Owner,Petrol,DL-9C,"7,136/month","3,65,000","Vasant Kunj, New Delhi"
67,2022 Tata Tiago,XZ PLUS CNG,Manual,"16,360 km",1st Owner,CNG,DL-8C,"14,096/month","7,21,000","Sewa Nagar
"
68,2016 Maruti Wagon R 1.0,VXI,Manual,"64,642 km",1st Owner,Petrol,DL-2C,"6,823/month","3,49,000","Sector-18, Noida"
69,2018 Datsun Go,T,Manual,"21,637 km",2nd Owner,Petrol,DL-3C,"5,572/month","2,85,000","Sector-18, Noida"
70,2020 Maruti Baleno,DELTA PETROL 1.2,Manual,"35,053 km",1st Owner,Petrol,DL-3C,"12,062/month","6,17,000","Metro Walk, Rohini, New Delhi"
71,2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"57,996 km",1st Owner,Petrol,DL-6C,"9,462/month","4,84,000","GIP Mall, Noida"
72,2017 Tata Tiago,XE PETROL,Manual,"36,644 km",1st Owner,Petrol,HR-26,"7,574/month","3,87,400","Parsvnath City Mall, Faridabad"
73,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0L 16 ALLOY,Manual,"60,417 km",2nd Owner,Petrol,DL-10,"10,323/month","5,28,000","Vasant Kunj, New Delhi"
74,2019 Maruti Vitara Brezza,ZDI AMT,Automatic,"89,722 km",2nd Owner,Diesel,HR-26,"14,643/month","7,49,000","M3M Urbana, Golf Course Extension, Gurugram"
75,2021 Nissan MAGNITE,XV MT,Manual,"46,318 km",1st Owner,Petrol,UP-25,"14,741/month","7,54,000","Sewa Nagar
"
76,2017 Maruti Baleno,ALPHA PETROL 1.2,Manual,"32,062 km",1st Owner,Petrol,DL-14,"10,811/month","5,53,000","Sector-18, Noida"
77,2023 Tata ALTROZ,XZ PLUS I-TURBO PETROL,Manual,"3,740 km",1st Owner,Petrol,DL-12,"16,921/month","8,89,000","M3M Urbana, Golf Course Extension, Gurugram"
78,2021 Maruti Ciaz,ALPHA 1.5 SHVS PETROL,Manual,"16,877 km",2nd Owner,Petrol,UP-16,"18,120/month","9,52,000","GIP Mall, Noida"
79,2017 Maruti IGNIS,ZETA 1.2 AMT DUAL TONE,Automatic,"29,406 km",2nd Owner,Petrol,HR-10,"9,521/month","4,87,000","Metro Walk, Rohini, New Delhi"
80,2018 Tata Tiago,XT DIESEL,Manual,"30,246 km",1st Owner,Diesel,DL-7C,"7,976/month","4,08,000","Spaze Platinum, Sohna Road, Gurugram"
81,2020 Honda Amaze,1.2L I-VTEC S,Manual,"15,072 km",2nd Owner,Petrol,HR-26,"12,199/month","6,24,000","Spaze Platinum, Sohna Road, Gurugram"
82,2021 Maruti New Wagon-R,LXI CNG 1.0,Manual,"25,754 km",1st Owner,CNG,HR-29,"10,811/month","5,53,000","Parsvnath City Mall, Faridabad"
83,2021 Tata Tiago,XE PETROL,Manual,"39,232 km",2nd Owner,Petrol,UP-15,"9,716/month","4,97,000","Sewa Nagar
"
84,2019 Maruti Ciaz,ALPHA 1.5 SHVS PETROL,Manual,"44,180 km",1st Owner,Petrol,DL-9C,"14,975/month","7,66,000","Vasant Kunj, New Delhi"
85,2016 Maruti Alto 800,LXI,Manual,"45,518 km",1st Owner,Petrol,UP-81,"4,672/month","2,39,000","Sector-18, Noida"
86,2019 Mahindra XUV 3OO,W6 1.5 DIESEL,Manual,"44,921 km",1st Owner,Diesel,UP-16,"15,562/month","7,96,000","Sewa Nagar
"
87,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"59,900 km",2nd Owner,Petrol,DL-7C,"6,960/month","3,56,000","Vasant Kunj, New Delhi"
88,2017 Hyundai Elite i20,MAGNA 1.2,Manual,"67,262 km",1st Owner,Petrol,DL-5C,"9,286/month","4,75,000","Sector-18, Noida"
89,2020 Hyundai Creta,SX AT 1.6 DIESEL,Automatic,"44,857 km",2nd Owner,Diesel,DL-7C,"22,632/month","11,89,000","GIP Mall, Noida"
90,2017 Maruti Wagon R 1.0,LXI CNG,Manual,"76,203 km",1st Owner,CNG,DL-8C,"7,312/month","3,74,000","GIP Mall, Noida"
91,2017 Maruti Wagon R 1.0,VXI,Manual,"52,113 km",1st Owner,Petrol,DL-2C,"6,882/month","3,52,000","M3M Urbana, Golf Course Extension, Gurugram"
92,2021 Hyundai Verna,SX 1.5 VTVT,Manual,"16,809 km",1st Owner,Petrol,HR-29,"20,747/month","10,90,000","Spaze Platinum, Sohna Road, Gurugram"
93,2017 Jeep Compass,2.0 LONGITUDE (O),Manual,"32,038 km",1st Owner,Diesel,DL-10,"20,252/month","10,64,000","GIP Mall, Noida"
94,2018 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"58,196 km",1st Owner,Petrol,DL-12,"15,601/month","7,98,000","M3M Urbana, Golf Course Extension, Gurugram"
95,2022 Tata Tiago,XZ+ CNG 1.2 RTN,Manual,"30,399 km",1st Owner,CNG,HR-26,"13,822/month","7,07,000","Spaze Platinum, Sohna Road, Gurugram"
96,2015 Maruti Ciaz, ZDI SHVS,Manual,"70,529 km",1st Owner,Diesel,UP-14,"9,521/month","4,87,000","Sector-18, Noida"
97,2014 Volkswagen Polo,HIGHLINE1.2L PETROL,Manual,"76,583 km",3rd Owner,Petrol,HR-51,"7,683/month","3,93,000","Metro Walk, Rohini, New Delhi"
98,2013 Hyundai Santro Xing,GL PLUS,Manual,"1,03,030 km",1st Owner,Petrol,DL-10,"3,675/month","1,88,000","Metro Walk, Rohini, New Delhi"
99,2021 Hyundai NEW I20,ASTA 1.2 AT,Automatic,"6,616 km",1st Owner,Petrol,HR-26,"18,006/month","9,46,000","Spaze Platinum, Sohna Road, Gurugram"
100,2020 Hyundai GRAND I10 NIOS,SPORTZ AMT 1.2 KAPPA VTVT,Automatic,"12,963 km",1st Owner,Petrol,DL-5C,"13,040/month","6,67,000","GIP Mall, Noida"
101,2022 Maruti Baleno,DELTA PETROL 1.2,Manual,"7,538 km",1st Owner,Petrol,UP-14,"14,799/month","7,57,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
102,2022 Maruti BREZZA,ZXI SMART HYBRID ,Manual,"17,103 km",1st Owner,Petrol,HR-29,"22,232/month","11,68,000","Spaze Platinum, Sohna Road, Gurugram"
103,2020 Honda City,1.5L I-VTEC VX CVT,Automatic,"30,720 km",1st Owner,Petrol,HR-26,"23,488/month","12,34,000","Vasant Kunj, New Delhi"
104,2022 Mahindra XUV 3OO,W6 1.5 DIESEL,Manual,"30,211 km",1st Owner,Diesel,UP-85,"19,662/month","10,33,000","Sewa Nagar
"
105,2017 Ford Ecosport,TITANIUM 1.5L PETROL AT,Automatic,"35,892 km",1st Owner,Petrol,UP-14,"13,157/month","6,73,000","Sewa Nagar
"
106,2016 Maruti Swift,VXI,Manual,"25,489 km",1st Owner,Petrol,UP-80,"8,778/month","4,49,000","Sewa Nagar
"
107,2018 Honda City,1.5L I-VTE V CVT,Automatic,"13,794 km",1st Owner,Petrol,DL-14,"17,835/month","9,37,000","Parsvnath City Mall, Faridabad"
108,2020 Mahindra XUV 3OO,W6 1.2 PETROL,Manual,"35,345 km",1st Owner,Petrol,DL-8C,"16,236/month","8,53,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
109,2018 Datsun Redi Go,S 1.0,Manual,"59,771 km",3rd Owner,Petrol,DL-14,"4,457/month","2,28,000","Sector-18, Noida"
110,2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"41,947 km",1st Owner,Petrol,DL-6C,"10,049/month","5,14,000","Metro Walk, Rohini, New Delhi"
111,2020 Maruti Vitara Brezza,VXI,Manual,"35,982 km",1st Owner,Petrol,HR-26,"15,284/month","8,03,000","Parsvnath City Mall, Faridabad"
112,2014 Maruti Celerio,VXI,Manual,"29,399 km",1st Owner,Petrol,DL-5C,"6,588/month","3,37,000","M3M Urbana, Golf Course Extension, Gurugram"
113,2019 Honda Amaze,1.2L I-VTEC S,Manual,"22,382 km",1st Owner,Petrol,DL-3C,"11,828/month","6,05,000","GIP Mall, Noida"
114,2017 Honda City,1.5L I-VTEC VX CVT,Automatic,"39,832 km",2nd Owner,Petrol,DL-2C,"15,230/month","7,79,000","Vasant Kunj, New Delhi"
115,2018 Maruti Vitara Brezza,ZDI,Manual,"81,601 km",1st Owner,Diesel,UP-14,"13,568/month","6,94,000","GIP Mall, Noida"
116,2019 Honda City,1.5L I-VTE V CVT,Automatic,"9,578 km",1st Owner,Petrol,HR-26,"19,453/month","10,22,000","Vasant Kunj, New Delhi"
117,2013 Maruti Wagon R 1.0,VXI,Manual,"41,681 km",2nd Owner,Petrol,DL-8C,"4,927/month","2,52,000","Vasant Kunj, New Delhi"
118,2022 Honda City,1.5L I-VTEC V MT 5TH GEN,Manual,"23,013 km",1st Owner,Petrol,DL-4C,"20,214/month","10,62,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
119,2020 Toyota URBAN CRUISER,PREMIUM GRADE AT,Automatic,"19,499 km",2nd Owner,Petrol,DL-10,"19,605/month","10,30,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
120,2015 Maruti Wagon R 1.0,LXI,Manual,"30,345 km",1st Owner,Petrol,DL-14,"5,846/month","2,99,000","Metro Walk, Rohini, New Delhi"
121,2014 Honda City,1.5L I-DTEC V,Manual,"1,10,768 km",1st Owner,Diesel,UP-80,"9,052/month","4,63,000","Sewa Nagar
"
122,2020 Maruti IGNIS,ZETA 1.2,Manual,"31,459 km",1st Owner,Petrol,DL-2C,"10,166/month","5,20,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
123,2015 Maruti Alto 800,VXI,Manual,"39,138 km",1st Owner,Petrol,DL-2C,"5,122/month","2,62,000","GIP Mall, Noida"
124,2019 Maruti Swift,VXI,Manual,"21,270 km",1st Owner,Petrol,HR-51,"11,711/month","5,99,000","Spaze Platinum, Sohna Road, Gurugram"
125,2018 Maruti Swift,VXI AMT,Automatic,"51,706 km",1st Owner,Petrol,DL-3C,"10,909/month","5,58,000","GIP Mall, Noida"
126,2011 Hyundai Verna,FLUIDIC 1.6 VTVT SX,Manual,"64,497 km",1st Owner,Petrol,DL-7C,"6,276/month","3,21,000","Metro Walk, Rohini, New Delhi"
127,2017 Maruti Swift,LXI,Manual,"7,380 km",1st Owner,Petrol,HR-26,"8,934/month","4,57,000","M3M Urbana, Golf Course Extension, Gurugram"
128,2017 Maruti Wagon R 1.0,VXI,Manual,"75,047 km",1st Owner,Petrol,DL-1C,"6,667/month","3,41,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
129,2020 KIA SONET,GTX + 1.0 IMT,Manual,"12,461 km",1st Owner,Petrol,DL-10,"22,708/month","11,93,000","GIP Mall, Noida"
130,2015 Volkswagen Polo,TRENDLINE 1.2L PETROL,Manual,"84,265 km",2nd Owner,Petrol,HR-51,"7,527/month","3,85,000","Parsvnath City Mall, Faridabad"
