,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
68,2019 Hyundai Elite i20,SPORTZ PLUS 1.2,Manual,"65,944 km",2nd Owner,Petrol,KA-20,"12,219/month","6,25,000","Bellahalli, Bengaluru"
69,2015 Renault Duster,RXE PETROL,Manual,"67,363 km",2nd Owner,Petrol,KA-51,"10,205/month","5,22,000","Horamavu Agara Road, Bengaluru"
70,2021 Maruti Celerio,ZXI AMT,Automatic,"12,364 km",1st Owner,Petrol,KA-04,"11,965/month","6,12,000","Bellahalli, Bengaluru"
71,2015 Honda City,1.5L I-VTEC VX CVT,Automatic,"90,333 km",2nd Owner,Petrol,KA-03,"14,252/month","7,29,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
72,2014 Maruti Ertiga,VXI,Manual,"53,766 km",2nd Owner,Petrol,KA-05,"13,118/month","6,71,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
73,2021 Tata Harrier,XT 2.0L KRYOTEC,Manual,"17,841 km",1st Owner,Diesel,KA-51,"31,121/month","16,35,000","Garuda Mall, Magrath Road, Bengaluru"
74,2017 Honda City,1.5L I-VTEC ZX CVT,Automatic,"62,708 km",1st Owner,Petrol,KA-01,"20,081/month","10,55,000","Bellahalli, Bengaluru"
75,2020 Renault TRIBER,RXZ AMT,Automatic,"42,063 km",1st Owner,Petrol,KA-05,"13,685/month","7,00,000","Sonnappanahalli
"
76,2015 Maruti Wagon R 1.0,VXI,Manual,"48,394 km",1st Owner,Petrol,KA-55,"7,449/month","3,81,000","Bellahalli, Bengaluru"
77,2019 KIA SELTOS,GTK 1.4 PETROL,Manual,"36,307 km",1st Owner,Petrol,KA-41,"23,012/month","12,09,000","Garuda Mall, Magrath Road, Bengaluru"
78,2015 Hyundai Elite i20,SPORTZ 1.2 (O),Manual,"26,502 km",2nd Owner,Petrol,KA-03,"10,889/month","5,57,000","Bellahalli, Bengaluru"
79,2020 Mahindra XUV 3OO,W8 1.2 PETROL,Manual,"45,751 km",3rd Owner,Petrol,KA-27,"15,798/month","8,30,000","GT World Mall, Bengaluru"
80,2016 Hyundai i10,MAGNA 1.1,Manual,"29,960 km",1st Owner,Petrol,KA-03,"7,664/month","3,92,000","Bellahalli, Bengaluru"
81,2014 Hyundai i20,ASTA 1.4 CRDI,Manual,"41,425 km",1st Owner,Diesel,KA-03,"10,889/month","5,57,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
82,2018 Honda Amaze,1.2L I-VTEC V,Manual,"51,569 km",2nd Owner,Petrol,KA-03,"11,613/month","5,94,000","Horamavu Agara Road, Bengaluru"
83,2013 Maruti Swift,VXI,Manual,"92,529 km",1st Owner,Petrol,KA-19,"8,426/month","4,31,000","Bellahalli, Bengaluru"
84,2020 Maruti Dzire,VXI,Manual,"30,466 km",1st Owner,Petrol,KA-04,"13,783/month","7,05,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
85,2019 Tata NEXON,XZA PLUS DIESEL,Automatic,"39,154 km",2nd Owner,Diesel,KA-22,"18,920/month","9,94,000","Bellahalli, Bengaluru"
86,2016 Hyundai Verna,FLUIDIC 4S 1.6 VTVT S,Manual,"42,094 km",2nd Owner,Petrol,KA-04,"12,551/month","6,42,000","Bellahalli, Bengaluru"
87,2022 Hyundai NEW I20 N LINE,N8 1.0 TURBO GDI IMT,Manual,"17,418 km",2nd Owner,Petrol,KA-01,"21,585/month","11,34,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
88,2016 Datsun Redi Go,A,Manual,"60,297 km",2nd Owner,Petrol,KA-09,"5,063/month","2,59,000","Horamavu Agara Road, Bengaluru"
89,2017 Maruti Dzire,VDI AMT,Automatic,"83,991 km",1st Owner,Diesel,KA-01,"12,864/month","6,58,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
90,2011 Hyundai i10,SPORTZ 1.2,Manual,"41,802 km",1st Owner,Petrol,KA-53,"6,393/month","3,27,000","Bellahalli, Bengaluru"
91,2011 Maruti Swift,VXI,Manual,"60,020 km",1st Owner,Petrol,KA-05,"7,664/month","3,92,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
92,2021 Hyundai GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT,Manual,"7,266 km",1st Owner,Petrol,KA-16,"12,493/month","6,39,000","Bellahalli, Bengaluru"
93,2014 Maruti Swift Dzire,VXI,Manual,"26,627 km",1st Owner,Petrol,KA-41,"9,892/month","5,06,000","Hosur Road, Singasandra, Bengaluru"
94,2013 Hyundai Verna,FLUIDIC 1.6 VTVT EX,Manual,"62,799 km",3rd Owner,Petrol,KA-04,"8,641/month","4,42,000","Bellahalli, Bengaluru"
95,2014 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"68,810 km",2nd Owner,Petrol,KA-02,"7,664/month","3,92,000","Bellahalli, Bengaluru"
96,2015 Hyundai Elite i20,MAGNA 1.2,Manual,"71,332 km",1st Owner,Petrol,KA-04,"10,127/month","5,18,000","Sonnappanahalli
"
97,2019 Honda Civic,1.8L I-VTEC VX CVT,Automatic,"63,710 km",1st Owner,Petrol,KA-52,"29,960/month","15,74,000","Bellahalli, Bengaluru"
98,2023 Maruti JIMNY,ALPHA ALL GRIP PRO AT,Automatic,"2,013 km",1st Owner,Petrol,KA-03,"33,043/month","17,36,000","Sonnappanahalli
"
