,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
333,2020 Maruti Dzire,ZXI Plus AMT,Automatic,"12,583 km",2nd Owner,Petrol,MH-05,"14,448/month","7,39,000","Mulund, Mumbai"
334,2017 Honda City,1.5L I-VTEC VX CVT,Automatic,"62,176 km",1st Owner,Petrol,MH-46,"15,210/month","7,78,000","Goregaon, Mumbai"
335,2017 Maruti Baleno,ZETA PETROL 1.2,Manual,"15,413 km",2nd Owner,Petrol,MH-02,"11,926/month","6,10,000","Goregaon, Mumbai"
336,2014 Hyundai Elite i20,ASTA 1.2,Manual,"45,471 km",2nd Owner,Petrol,MH-01,"9,599/month","4,91,000","Mulund, Mumbai"
337,2021 Tata NEXON,XZ 1.2,Manual,"17,657 km",1st Owner,Petrol,MH-31,"18,006/month","9,46,000","Goregaon, Mumbai"
338,2017 Maruti Baleno,ZETA PETROL 1.2,Manual,"68,949 km",2nd Owner,Petrol,MH-02,"10,714/month","5,48,000","Goregaon, Mumbai"
339,2017 Maruti Dzire,VXI AMT,Automatic,"24,694 km",1st Owner,Petrol,MH-01,"12,414/month","6,35,000","Rupa Renaissance, Navi Mumbai"
340,2018 Maruti Alto 800,VXI,Manual,"17,784 km",1st Owner,Petrol,MH-48,"6,549/month","3,35,000","Goregaon, Mumbai"
341,2021 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"6,770 km",1st Owner,Petrol,MH-03,"17,226/month","9,05,000","Goregaon, Mumbai"
342,2019 Maruti Ciaz,ALPHA 1.5 SHVS PETROL,Manual,"16,602 km",1st Owner,Petrol,MH-47,"15,912/month","8,36,000","Goregaon, Mumbai"
343,2014 Hyundai Elite i20,SPORTZ 1.2,Manual,"43,733 km",1st Owner,Petrol,MH-02,"10,049/month","5,14,000","Mulund, Mumbai"
344,2015 Maruti Swift,VXI,Manual,"43,563 km",1st Owner,Petrol,MH-06,"8,876/month","4,54,000","Goregaon, Mumbai"
345,2019 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"24,499 km",1st Owner,Petrol,MH-20,"15,665/month","8,23,000","Mulund, Mumbai"
346,2020 Maruti S PRESSO,VXI CNG,Manual,"53,587 km",2nd Owner,CNG,MH-05,"8,661/month","4,43,000","Mulund, Mumbai"
347,2021 Maruti Ciaz,ALPHA 1.5 SHVS PETROL,Manual,"4,756 km",1st Owner,Petrol,MH-47,"17,683/month","9,29,000","Goregaon, Mumbai"
348,2021 Honda Jazz,1.2L I-VTEC ZX CVT,Automatic,"53,546 km",1st Owner,Petrol,MH-46,"15,570/month","8,18,000","Goregaon, Mumbai"
349,2014 Maruti Wagon R 1.0,LXI CNG,Manual,"80,188 km",1st Owner,CNG,MH-02,"6,862/month","3,51,000","Goregaon, Mumbai"
350,2022 Maruti S PRESSO,VXI+,Manual,"4,527 km",1st Owner,Petrol,MH-01,"10,968/month","5,61,000","Goregaon, Mumbai"
351,2020 Maruti Ciaz,S 1.5 MT PETROL,Manual,"42,385 km",2nd Owner,Petrol,MH-40,"17,416/month","9,15,000","Rupa Renaissance, Navi Mumbai"
352,2018 Tata Tiago,XZA PETROL,Automatic,"23,658 km",1st Owner,Petrol,MH-02,"10,127/month","5,18,000","Mulund, Mumbai"
353,2022 Tata NEXON,XZA PLUS (HS) PETROL,Automatic,"6,818 km",1st Owner,Petrol,MH-04,"22,080/month","11,60,000","Goregaon, Mumbai"
354,2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"38,724 km",1st Owner,Petrol,MH-43,"10,166/month","5,20,000","Mulund, Mumbai"
355,2016 Maruti Celerio,VXI CNG,Manual,"70,520 km",2nd Owner,CNG,MH-04,"8,016/month","4,10,000","Goregaon, Mumbai"
356,2019 Honda City,1.5L I-VTE V CVT,Automatic,"17,459 km",1st Owner,Petrol,MH-02,"17,740/month","9,32,000","Rupa Renaissance, Navi Mumbai"
357,2017 Maruti Swift,VXI,Manual,"57,546 km",1st Owner,Petrol,MH-05,"10,166/month","5,20,000","Goregaon, Mumbai"
358,2016 Hyundai Creta,SX PLUS AT 1.6 PETROL,Automatic,"79,576 km",1st Owner,Petrol,MH-01,"17,949/month","9,43,000","Mulund, Mumbai"
359,2014 Maruti Ertiga,VXI CNG,Manual,"58,042 km",2nd Owner,CNG,MH-01,"13,568/month","6,94,000","Rupa Renaissance, Navi Mumbai"
360,2018 Maruti IGNIS,ALPHA 1.2 AMT,Automatic,"55,158 km",2nd Owner,Petrol,MH-01,"11,476/month","5,87,000","Rupa Renaissance, Navi Mumbai"
361,2013 Maruti Swift Dzire,VXI REGAL EDITION,Manual,"50,538 km",1st Owner,Petrol,MH-01,"7,996/month","4,09,000","Mulund, Mumbai"
362,2011 Maruti Wagon R 1.0,LXI,Manual,"38,412 km",1st Owner,Petrol,MH-43,"4,770/month","2,44,000","Rupa Renaissance, Navi Mumbai"
363,2016 Hyundai Creta,SX PLUS AT 1.6 PETROL,Automatic,"65,597 km",1st Owner,Petrol,MH-04,"18,787/month","9,87,000","Goregaon, Mumbai"
364,2020 Maruti S PRESSO,VXI,Manual,"59,204 km",1st Owner,Petrol,MH-14,"7,781/month","3,98,000","Rupa Renaissance, Navi Mumbai"
365,2016 Maruti Baleno,ALPHA PETROL 1.2,Manual,"35,739 km",1st Owner,Petrol,MH-04,"11,554/month","5,91,000","Goregaon, Mumbai"
366,2015 Toyota Etios,V,Manual,"62,741 km",2nd Owner,Petrol,MH-01,"8,387/month","4,29,000","Goregaon, Mumbai"
367,2021 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"9,183 km",1st Owner,Petrol,MH-47,"17,016/month","8,94,000","Goregaon, Mumbai"
368,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"47,755 km",2nd Owner,Petrol,MH-01,"15,475/month","8,13,000","Goregaon, Mumbai"
369,2016 Hyundai Creta,SX PLUS AT 1.6 PETROL,Automatic,"18,863 km",1st Owner,Petrol,MH-47,"20,195/month","10,61,000","Goregaon, Mumbai"
370,2019 Maruti Baleno,DELTA CVT PETROL 1.2,Automatic,"5,693 km",1st Owner,Petrol,MH-47,"14,624/month","7,48,000","Goregaon, Mumbai"
371,2019 Tata NEXON,XZA PLUS PETROL,Automatic,"9,848 km",1st Owner,Petrol,MH-47,"17,683/month","9,29,000","Goregaon, Mumbai"
372,2017 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"51,536 km",1st Owner,Petrol,MH-48,"11,593/month","5,93,000","Mulund, Mumbai"
373,2014 Maruti Wagon R 1.0,LXI CNG,Manual,"84,895 km",1st Owner,CNG,MH-02,"6,745/month","3,45,000","Mulund, Mumbai"
374,2017 Maruti Swift,VXI,Manual,"30,866 km",1st Owner,Petrol,MH-43,"10,283/month","5,26,000","Mulund, Mumbai"
375,2021 Volkswagen Vento,HIGHLINE PLUS 1.0 TSI AT,Automatic,"18,837 km",1st Owner,Petrol,MH-06,"23,012/month","12,09,000","Goregaon, Mumbai"
376,2018 Tata NEXON,XZA PLUS PETROL,Automatic,"81,247 km",1st Owner,Petrol,MH-05,"14,311/month","7,32,000","Rupa Renaissance, Navi Mumbai"
377,2021 Honda Amaze,1.2L I-VTEC VX CVT,Automatic,"8,973 km",1st Owner,Petrol,MH-02,"16,236/month","8,53,000","Rupa Renaissance, Navi Mumbai"
378,2016 Maruti Wagon R 1.0,VXI AMT,Automatic,"36,056 km",2nd Owner,Petrol,MH-05,"7,722/month","3,95,000","Rupa Renaissance, Navi Mumbai"
379,2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"51,002 km",2nd Owner,Petrol,MH-43,"9,853/month","5,04,000","Goregaon, Mumbai"
380,2013 Honda CRV,2.4L 2WD AT,Automatic,"74,039 km",2nd Owner,Petrol,MH-05,"14,369/month","7,35,000","Goregaon, Mumbai"
381,2019 Mahindra XUV 3OO,W8 (O) 1.2 PETROL,Manual,"69,347 km",1st Owner,Petrol,MH-05,"17,112/month","8,99,000","Rupa Renaissance, Navi Mumbai"
382,2014 Maruti Wagon R 1.0,LXI CNG,Manual,"77,988 km",1st Owner,CNG,MH-02,"6,628/month","3,39,000","Mulund, Mumbai"
383,2021 Hyundai AURA,S 1.2 CNG,Manual,"66,479 km",1st Owner,CNG,MH-47,"15,425/month","7,89,000","Mulund, Mumbai"
384,2016 Honda City,1.5L I-VTEC V MT,Manual,"71,665 km",1st Owner,Petrol,MH-04,"11,671/month","5,97,000","Goregaon, Mumbai"
385,2017 Maruti Celerio,ZXI,Manual,"43,682 km",1st Owner,Petrol,MH-47,"8,485/month","4,34,000","Goregaon, Mumbai"
386,2018 Tata NEXON,XZA PLUS DIESEL,Automatic,"1,09,357 km",1st Owner,Diesel,MH-02,"15,722/month","8,26,000","Mulund, Mumbai"
387,2014 Maruti Swift Dzire,ZXI,Manual,"72,202 km",2nd Owner,Petrol,MH-01,"9,208/month","4,71,000","Goregaon, Mumbai"
388,2015 Maruti Wagon R 1.0,VXI,Manual,"85,180 km",2nd Owner,Petrol,MH-05,"6,686/month","3,42,000","Rupa Renaissance, Navi Mumbai"
389,2016 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"1,10,497 km",1st Owner,Petrol,MH-01,"10,635/month","5,44,000","Goregaon, Mumbai"
390,2017 Maruti Baleno,DELTA CVT PETROL 1.2,Automatic,"87,044 km",1st Owner,Petrol,MH-02,"11,065/month","5,66,000","Goregaon, Mumbai"
391,2016 Maruti Swift,ZXI,Manual,"25,559 km",1st Owner,Petrol,MH-03,"9,834/month","5,03,000","Goregaon, Mumbai"
392,2015 Maruti Ciaz,ZXI+,Manual,"58,212 km",2nd Owner,Petrol,MH-46,"10,186/month","5,21,000","Mulund, Mumbai"
393,2019 Mahindra XUV 3OO,W8 (O) 1.2 PETROL,Manual,"16,272 km",1st Owner,Petrol,MH-04,"18,825/month","9,89,000","Goregaon, Mumbai"
394,2018 Hyundai Verna,1.6 SX (O) CRDI MT,Manual,"55,220 km",1st Owner,Diesel,MH-01,"19,415/month","10,20,000","Mulund, Mumbai"
395,2016 Hyundai Creta,S 1.6 PETROL,Manual,"99,207 km",1st Owner,Petrol,MH-47,"15,132/month","7,74,000","Rupa Renaissance, Navi Mumbai"
396,2016 Hyundai i20 Active,1.4 SX,Manual,"1,17,092 km",2nd Owner,Diesel,MH-06,"11,906/month","6,09,000","Rupa Renaissance, Navi Mumbai"
397,2017 Hyundai Creta,SX PLUS AT 1.6 PETROL,Automatic,"59,563 km",2nd Owner,Petrol,MH-48,"19,415/month","10,20,000","Mulund, Mumbai"
398,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"52,109 km",1st Owner,Petrol,MH-47,"13,509/month","6,91,000","Rupa Renaissance, Navi Mumbai"
399,2016 Honda City,1.5L I-VTEC VX CVT,Automatic,"18,560 km",1st Owner,Petrol,MH-46,"14,917/month","7,63,000","Rupa Renaissance, Navi Mumbai"
400,2019 Hyundai Elite i20,ASTA 1.2 (O),Manual,"46,785 km",2nd Owner,Petrol,MH-04,"14,154/month","7,24,000","Mulund, Mumbai"
401,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"1,04,232 km",1st Owner,Petrol,MH-46,"14,819/month","7,58,000","Mulund, Mumbai"
402,2017 Maruti Baleno,ZETA PETROL 1.2,Manual,"57,040 km",1st Owner,Petrol,MH-43,"10,870/month","5,56,000","Rupa Renaissance, Navi Mumbai"
403,2017 Maruti Swift,VXI,Manual,"74,478 km",1st Owner,Petrol,MH-03,"9,521/month","4,87,000","Goregaon, Mumbai"
404,2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"16,535 km",1st Owner,Petrol,MH-04,"9,247/month","4,73,000","Mulund, Mumbai"
405,2019 Hyundai NEW SANTRO,ASTA MT,Manual,"36,643 km",1st Owner,Petrol,MH-47,"9,892/month","5,06,000","Rupa Renaissance, Navi Mumbai"
406,2018 Hyundai NEW SANTRO,SPORTZ CNG,Manual,"1,25,815 km",1st Owner,CNG,MH-05,"9,091/month","4,65,000","Mulund, Mumbai"
407,2017 Maruti Baleno,ALPHA CVT PETROL 1.2,Automatic,"78,327 km",1st Owner,Petrol,MH-03,"11,984/month","6,13,000","Mulund, Mumbai"
408,2018 Honda WR-V,1.5L I-DTEC VX MT,Manual,"1,08,748 km",1st Owner,Diesel,MH-20,"14,702/month","7,52,000","Mulund, Mumbai"
409,2020 Maruti New Wagon-R,ZXI 1.2 AMT,Automatic,"18,577 km",1st Owner,Petrol,MH-12,"12,160/month","6,22,000","Goregaon, Mumbai"
410,2022 Maruti New Wagon-R,LXI CNG 1.0,Manual,"7,978 km",1st Owner,CNG,MH-01,"14,350/month","7,34,000","Mulund, Mumbai"
411,2022 Maruti Celerio,ZXI PLUS,Manual,"9,649 km",1st Owner,Petrol,MH-41,"12,786/month","6,54,000","Goregaon, Mumbai"
412,2018 Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Automatic,"44,223 km",2nd Owner,Petrol,MH-04,"11,496/month","5,88,000","Goregaon, Mumbai"
413,2017 Honda City,1.5L I-VTEC V MT,Manual,"48,661 km",1st Owner,Petrol,MH-46,"13,920/month","7,12,000","Goregaon, Mumbai"
414,2022 Honda Amaze,1.2L I-VTEC VX,Manual,"8,007 km",1st Owner,Petrol,MH-05,"15,399/month","8,09,000","Mulund, Mumbai"
415,2021 Tata NEXON,XZA PLUS (O) DIESEL,Automatic,"22,630 km",1st Owner,Diesel,MH-43,"22,898/month","12,03,000","Rupa Renaissance, Navi Mumbai"
416,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"67,224 km",1st Owner,Petrol,MH-43,"15,589/month","8,19,000","Mulund, Mumbai"
417,2014 Honda City,1.5L I-VTEC SV,Manual,"95,106 km",1st Owner,Petrol,MH-43,"9,775/month","5,00,000","Goregaon, Mumbai"
418,2015 Maruti Celerio,VXI CNG,Manual,"17,940 km",2nd Owner,CNG,MH-01,"9,130/month","4,67,000","Rupa Renaissance, Navi Mumbai"
419,2018 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"20,771 km",1st Owner,Petrol,MH-43,"9,873/month","5,05,000","Goregaon, Mumbai"
420,2017 Maruti IGNIS,DELTA 1.2,Manual,"1,02,374 km",1st Owner,Petrol,MH-48,"8,133/month","4,16,000","Rupa Renaissance, Navi Mumbai"
421,2020 Tata NEXON,XZA PLUS (O) PETROL DUAL TONE,Automatic,"18,202 km",2nd Owner,Petrol,MH-47,"18,882/month","9,92,000","Mulund, Mumbai"
422,2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"51,768 km",1st Owner,Petrol,MH-01,"10,440/month","5,34,000","Mulund, Mumbai"
423,2018 Honda Amaze,1.2L I-VTEC V CVT,Automatic,"39,409 km",1st Owner,Petrol,MH-05,"14,272/month","7,30,000","Goregaon, Mumbai"
424,2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"61,431 km",1st Owner,Petrol,MH-46,"8,837/month","4,52,000","Rupa Renaissance, Navi Mumbai"
425,2018 Maruti Celerio,ZXI (O),Manual,"25,805 km",1st Owner,Petrol,MH-03,"10,127/month","5,18,000","Mulund, Mumbai"
426,2021 Maruti New Wagon-R,LXI CNG (O) 1.0,Manual,"42,753 km",1st Owner,CNG,MH-05,"12,727/month","6,51,000","Goregaon, Mumbai"
427,2021 Honda City,1.5L I-VTEC VX CVT,Automatic,"13,329 km",1st Owner,Petrol,MH-02,"25,544/month","13,42,000","Rupa Renaissance, Navi Mumbai"
428,2019 Hyundai Elite i20,SPORTZ PLUS 1.2,Manual,"27,416 km",1st Owner,Petrol,MH-04,"13,587/month","6,95,000","Rupa Renaissance, Navi Mumbai"
429,2016 Honda Jazz,1.2L I-VTEC V AT,Automatic,"35,717 km",1st Owner,Petrol,MH-02,"11,515/month","5,89,000","Goregaon, Mumbai"
430,2018 Ford Ecosport,TITANIUM + 1.5L PETROL AT,Automatic,"19,854 km",2nd Owner,Petrol,MH-47,"15,513/month","8,15,000","Goregaon, Mumbai"
431,2016 Maruti Alto 800,VXI,Manual,"55,271 km",1st Owner,Petrol,MH-43,"5,259/month","2,69,000","Goregaon, Mumbai"
432,2016 Maruti Baleno,ZETA PETROL 1.2,Manual,"36,777 km",1st Owner,Petrol,MH-47,"11,026/month","5,64,000","Goregaon, Mumbai"
433,2019 Hyundai NEW SANTRO,ERA EXECUTIVE,Manual,"16,657 km",1st Owner,Petrol,MH-47,"9,482/month","4,85,000","Mulund, Mumbai"
434,2017 Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,"23,315 km",1st Owner,Petrol,MH-02,"11,593/month","5,93,000","Goregaon, Mumbai"
435,2018 Tata NEXON,XZ PLUS DIESEL,Manual,"70,896 km",2nd Owner,Diesel,MH-04,"15,054/month","7,70,000","Goregaon, Mumbai"
436,2016 Hyundai Elite i20,MAGNA 1.2,Manual,"61,636 km",2nd Owner,Petrol,MH-47,"9,795/month","5,01,000","Goregaon, Mumbai"
437,2018 Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,"43,543 km",1st Owner,Petrol,MH-47,"12,004/month","6,14,000","Rupa Renaissance, Navi Mumbai"
438,2018 Maruti Vitara Brezza,VDI AMT,Automatic,"64,822 km",1st Owner,Diesel,MH-47,"15,246/month","8,01,000","Rupa Renaissance, Navi Mumbai"
