,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
79,2019 Maruti Baleno,DELTA CVT PETROL 1.2,Automatic,"25,103 km",2nd Owner,Petrol,TN-12,"12,903/month","6,60,000","Navalur
"
80,2018 Tata Tiago,XZ PETROL,Manual,"38,562 km",2nd Owner,Petrol,TN-19,"9,013/month","4,61,000","Thiruverkadu, Chennai
"
81,2019 Maruti S PRESSO,VXI (O),Manual,"32,376 km",1st Owner,Petrol,TN-77,"8,172/month","4,18,000","Thiruverkadu, Chennai
"
82,2021 Hyundai GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,Manual,"45,416 km",1st Owner,Petrol,TN-49,"12,844/month","6,57,000","Thiruverkadu, Chennai
"
83,2020 Ford FREESTYLE,TITANIUM 1.2 PETROL,Manual,"23,608 km",1st Owner,Petrol,TN-14,"12,923/month","6,61,000","Thiruverkadu, Chennai
"
84,2018 Skoda Rapid,STYLE 1.5 TDI AT,Automatic,"74,310 km",1st Owner,Diesel,TN-02,"18,387/month","9,66,000","Thiruverkadu, Chennai
"
85,2019 Mahindra XUV 3OO,W8 (O) 1.5 DIESEL AMT,Automatic,"46,216 km",2nd Owner,Diesel,TN-11,"19,320/month","10,15,000","Thiruverkadu, Chennai
"
86,2018 Jeep Compass,LIMITED 1.4 PETROL AT,Automatic,"88,923 km",1st Owner,Petrol,TN-01,"24,154/month","12,69,000","Thiruverkadu, Chennai
"
87,2021 Honda City,1.5L I-VTEC ZX,Manual,"10,990 km",1st Owner,Petrol,TN-22,"24,383/month","12,81,000","Thiruverkadu, Chennai
"
88,2023 KIA SELTOS,GTX PLUS DCT 1.4 PETROL,Automatic,"5,663 km",1st Owner,Petrol,TN-07,"35,822/month","18,82,000","Navalur
"
89,2017 Maruti Swift,ZXI,Manual,"84,289 km",2nd Owner,Petrol,TN-07,"9,990/month","5,11,000","Thiruverkadu, Chennai
"
90,2017 Hyundai i20 Active,1.2 S,Manual,"76,815 km",2nd Owner,Petrol,TN-87,"10,342/month","5,29,000","Navalur
"
91,2016 Hyundai Tucson New,2WD MT PETROL,Manual,"20,907 km",1st Owner,Petrol,TN-21,"22,536/month","11,84,000","Navalur
"
92,2019 KIA SELTOS,GTX + AT PETROL,Automatic,"83,004 km",1st Owner,Petrol,TN-23,"26,800/month","14,08,000","Thiruverkadu, Chennai
"
93,2017 Hyundai Verna,1.6 VTVT SX O,Manual,"82,196 km",1st Owner,Petrol,TN-07,"13,842/month","7,08,000","Thiruverkadu, Chennai
"
94,2021 Renault TRIBER,RXZ,Manual,"43,879 km",1st Owner,Petrol,TN-10,"13,744/month","7,03,000","Navalur
"
95,2019 Hyundai Elite i20,SPORTZ PLUS 1.2,Manual,"83,298 km",1st Owner,Petrol,TN-05,"11,535/month","5,90,000","Navalur
"
96,2016 Maruti Swift Dzire,ZDI AMT,Automatic,"54,767 km",1st Owner,Diesel,TN-13,"12,414/month","6,35,000","Thiruverkadu, Chennai
"
97,2018 Datsun Go Plus,T,Manual,"14,126 km",1st Owner,Petrol,TN-09,"8,622/month","4,41,000","Thiruverkadu, Chennai
"
98,2016 Renault Kwid,RXT 0.8,Manual,"27,861 km",1st Owner,Petrol,TN-07,"7,175/month","3,67,000","Thiruverkadu, Chennai
"
99,2016 Hyundai Elite i20,SPORTZ 1.2,Manual,"44,512 km",1st Owner,Petrol,TN-14,"11,085/month","5,67,000","Navalur
"
100,2019 Honda Amaze,1.2L I-VTEC S,Manual,"27,070 km",1st Owner,Petrol,TN-14,"13,118/month","6,71,000","Thiruverkadu, Chennai
"
101,2014 Hyundai Elite i20,MAGNA 1.4 CRDI,Manual,"82,784 km",1st Owner,Diesel,TN-07,"9,814/month","5,02,000","Thiruverkadu, Chennai
"
102,2018 Hyundai Elite i20,ASTA 1.2  CVT,Automatic,"39,404 km",2nd Owner,Petrol,TN-85,"13,411/month","6,86,000","Thiruverkadu, Chennai
"
103,2014 Ford Ecosport,TITANIUM 1.5L PETROL AT,Automatic,"82,620 km",1st Owner,Petrol,TN-11,"11,378/month","5,82,000","Thiruverkadu, Chennai
"
104,2018 Hyundai Xcent,S 1.2,Manual,"22,642 km",1st Owner,Petrol,TN-19,"11,085/month","5,67,000","Navalur
"
105,2016 Ford Ecosport,AMBIENTE 1.5L PETROL,Manual,"38,256 km",2nd Owner,Petrol,TN-10,"10,753/month","5,50,000","Thiruverkadu, Chennai
"
106,2018 Datsun Go Plus,T,Manual,"25,119 km",1st Owner,Petrol,TN-18,"7,859/month","4,02,000","Thiruverkadu, Chennai
"
107,2016 Honda City,1.5L I-VTEC V MT,Manual,"80,884 km",1st Owner,Petrol,TN-22,"11,808/month","6,04,000","Thiruverkadu, Chennai
"
108,2016 Volkswagen Vento,COMFORTLINE 1.6,Manual,"90,403 km",2nd Owner,Petrol,TN-01,"10,792/month","5,52,000","Navalur
"
109,2019 Toyota YARIS,J MT,Manual,"1,17,382 km",1st Owner,Petrol,TN-01,"13,490/month","6,90,000","Navalur
"
110,2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"57,445 km",1st Owner,Petrol,TN-04,"8,758/month","4,48,000","Navalur
"
111,2016 Maruti Swift Dzire,VXI,Manual,"88,584 km",1st Owner,Petrol,TN-12,"10,694/month","5,47,000","Thiruverkadu, Chennai
"
112,2022 Tata TIGOR,XZ PLUS PETROL,Manual,"60,478 km",1st Owner,CNG,TN-87,"14,408/month","7,37,000","Thiruverkadu, Chennai
"
113,2019 Mahindra TUV300,T10,Manual,"1,11,242 km",1st Owner,Diesel,TN-14,"15,322/month","8,05,000","Thiruverkadu, Chennai
"
114,2018 Maruti IGNIS,ZETA 1.2 AMT,Automatic,"74,410 km",2nd Owner,Petrol,TN-09,"9,814/month","5,02,000","Thiruverkadu, Chennai
"
