,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
54,2021 Nissan MAGNITE,XL TURBO,Manual,"30,580 km",1st Owner,Petrol,TS-15,"15,093/month","7,72,000","Kompally, Hyderabad"
55,2018 Hyundai Verna,1.6 VTVT SX,Manual,"65,850 km",1st Owner,Petrol,TS-11,"16,350/month","8,59,000","Bachupally, Hyderabad"
56,2011 Hyundai i10,SPORTZ 1.2 AT,Automatic,"61,609 km",2nd Owner,Petrol,AP-28,"6,530/month","3,34,000","Bachupally, Hyderabad"
57,2016 Hyundai Eon,SPORTZ,Manual,"68,336 km",2nd Owner,Petrol,TS-07,"5,865/month","3,00,000","Kompally, Hyderabad"
58,2012 Honda Brio,S MT,Manual,"95,178 km",2nd Owner,Petrol,AP-11,"5,435/month","2,78,000","Bachupally, Hyderabad"
59,2016 Honda City,1.5L I-VTEC SV CVT,Automatic,"73,472 km",2nd Owner,Petrol,TS-09,"13,392/month","6,85,000","Attapur, Hyderabad"
60,2015 Honda Amaze,1.5L I-DTEC S,Manual,"1,18,180 km",3rd Owner,Diesel,TS-07,"8,289/month","4,24,000","Attapur, Hyderabad"
61,2018 Jeep Compass,LIMITED PLUS PETROL AT,Automatic,"42,064 km",1st Owner,Petrol,TS-07,"30,626/month","16,09,000","Kompally, Hyderabad"
62,2021 Mahindra XUV 3OO,W8 1.2 PETROL,Manual,"48,096 km",1st Owner,Petrol,TS-10,"18,463/month","9,70,000","Attapur, Hyderabad"
63,2018 Volkswagen Polo,COMFORTLINE 1.0 PETROL,Manual,"56,919 km",1st Owner,Petrol,TS-04,"12,043/month","6,16,000","Kompally, Hyderabad"
64,2013 Honda Brio,V MT,Manual,"60,993 km",1st Owner,Petrol,AP-09,"6,882/month","3,52,000","Bachupally, Hyderabad"
65,2018 Tata Tiago,XZ PETROL,Manual,"8,280 km",1st Owner,Petrol,TS-08,"10,440/month","5,34,000","Kompally, Hyderabad"
